Latitude,Longitude,Heading,Speed,DateTime
44.45057,-88.05917,356,1.44,2020-09-25T14:16:01-05:00
44.45062,-88.05917,355,3.82,2020-09-25T14:16:03-05:00
44.4507,-88.05917,360,5.19,2020-09-25T14:16:05-05:00
44.4508,-88.05917,1,6.31,2020-09-25T14:16:07-05:00
44.45092,-88.05917,1,6.13,2020-09-25T14:16:09-05:00
44.45102,-88.05916,1,5.31,2020-09-25T14:16:11-05:00
44.45111,-88.05916,2,4.47,2020-09-25T14:16:13-05:00
44.45117,-88.05917,347,3.44,2020-09-25T14:16:15-05:00
44.45124,-88.05923,316,4.76,2020-09-25T14:16:17-05:00
44.45127,-88.05935,280,5.57,2020-09-25T14:16:19-05:00
44.45127,-88.05952,267,7.11,2020-09-25T14:16:21-05:00
44.45126,-88.05972,266,7.64,2020-09-25T14:16:23-05:00
44.45125,-88.05989,266,6.67,2020-09-25T14:16:25-05:00
44.45124,-88.06007,270,5.09,2020-09-25T14:16:27-05:00
44.45124,-88.06018,270,3.92,2020-09-25T14:16:29-05:00
44.45124,-88.06023,270,0.26,2020-09-25T14:16:31-05:00
44.45124,-88.06023,,0.03,2020-09-25T14:16:33-05:00
44.45123,-88.06024,,0.01,2020-09-25T14:16:35-05:00
44.45123,-88.06024,,0,2020-09-25T14:16:37-05:00
44.45123,-88.06024,,0.02,2020-09-25T14:16:39-05:00
44.45123,-88.06025,,0.01,2020-09-25T14:16:41-05:00
44.45123,-88.06025,,0.01,2020-09-25T14:16:43-05:00
44.45123,-88.06025,,0.01,2020-09-25T14:16:45-05:00
44.45123,-88.06025,,0,2020-09-25T14:16:47-05:00
44.45124,-88.06025,,0.01,2020-09-25T14:16:49-05:00
44.45124,-88.06026,272,0.73,2020-09-25T14:16:51-05:00
44.45123,-88.0603,270,1.94,2020-09-25T14:16:53-05:00
44.45123,-88.06036,269,2.9,2020-09-25T14:16:55-05:00
44.45122,-88.06045,245,3.77,2020-09-25T14:16:57-05:00
44.45114,-88.06051,198,5.7,2020-09-25T14:16:59-05:00
44.45102,-88.06051,176,8.24,2020-09-25T14:17:01-05:00
44.45084,-88.0605,181,10.32,2020-09-25T14:17:03-05:00
44.45065,-88.06051,181,10.54,2020-09-25T14:17:05-05:00
44.45045,-88.06051,180,11.29,2020-09-25T14:17:07-05:00
44.45025,-88.06051,180,11.01,2020-09-25T14:17:09-05:00
44.45005,-88.06051,180,11.06,2020-09-25T14:17:11-05:00
44.44985,-88.06052,181,11.18,2020-09-25T14:17:13-05:00
44.44964,-88.06052,181,11.63,2020-09-25T14:17:15-05:00
44.44943,-88.06052,181,11.85,2020-09-25T14:17:17-05:00
44.44922,-88.06053,182,10.91,2020-09-25T14:17:19-05:00
44.44902,-88.06054,180,11.44,2020-09-25T14:17:21-05:00
44.44881,-88.06053,181,11.48,2020-09-25T14:17:23-05:00
44.4486,-88.06053,180,11.22,2020-09-25T14:17:25-05:00
44.4484,-88.06053,181,10.65,2020-09-25T14:17:27-05:00
44.44822,-88.06053,180,9.94,2020-09-25T14:17:29-05:00
44.44805,-88.06053,179,9.05,2020-09-25T14:17:31-05:00
44.44791,-88.06052,179,6.4,2020-09-25T14:17:33-05:00
44.44781,-88.06053,184,5.31,2020-09-25T14:17:35-05:00
44.44774,-88.06054,195,2.41,2020-09-25T14:17:37-05:00
44.44772,-88.06054,196,0.49,2020-09-25T14:17:39-05:00
44.44771,-88.06054,,0.04,2020-09-25T14:17:41-05:00
44.44771,-88.06053,,0.01,2020-09-25T14:17:43-05:00
44.4477,-88.06053,,0.03,2020-09-25T14:17:45-05:00
44.4477,-88.06053,,0.01,2020-09-25T14:17:47-05:00
44.4477,-88.06053,,0.09,2020-09-25T14:17:49-05:00
44.4477,-88.06053,,0.02,2020-09-25T14:17:51-05:00
44.4477,-88.06053,,0.01,2020-09-25T14:17:53-05:00
